09:21:54.944626 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3137509263:3137509351, ack 1695189999, win 913, options [nop,nop,TS val 424905307 ecr 40267142], length 88
09:24:30.285129 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13698:13786, ack 1, win 913, options [nop,nop,TS val 425060675 ecr 40305977], length 88
09:24:31.286970 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13786:13874, ack 1, win 913, options [nop,nop,TS val 425061677 ecr 40306227], length 88
09:24:32.288830 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13874:13962, ack 1, win 913, options [nop,nop,TS val 425062679 ecr 40306478], length 88
09:24:33.290568 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13962:14050, ack 1, win 913, options [nop,nop,TS val 425063681 ecr 40306728], length 88
09:24:34.293412 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14050:14138, ack 1, win 913, options [nop,nop,TS val 425064684 ecr 40306979], length 88
09:24:35.295237 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14138:14226, ack 1, win 913, options [nop,nop,TS val 425065686 ecr 40307229], length 88
09:24:36.298319 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14226:14314, ack 1, win 913, options [nop,nop,TS val 425066689 ecr 40307480], length 88
09:24:37.302167 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14314:14402, ack 1, win 913, options [nop,nop,TS val 425067693 ecr 40307731], length 88
09:24:38.304712 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14402:14490, ack 1, win 913, options [nop,nop,TS val 425068696 ecr 40307981], length 88
09:24:39.307567 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14490:14578, ack 1, win 913, options [nop,nop,TS val 425069699 ecr 40308232], length 88
09:24:40.309534 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14578:14666, ack 1, win 913, options [nop,nop,TS val 425070701 ecr 40308483], length 88
09:24:41.311200 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14666:14754, ack 1, win 913, options [nop,nop,TS val 425071703 ecr 40308733], length 88
09:24:42.314078 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14754:14842, ack 1, win 913, options [nop,nop,TS val 425072706 ecr 40308984], length 88
09:24:43.315792 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14842:14930, ack 1, win 913, options [nop,nop,TS val 425073708 ecr 40309234], length 88
09:24:44.318694 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 14930:15018, ack 1, win 913, options [nop,nop,TS val 425074711 ecr 40309485], length 88
09:24:45.320499 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15018:15106, ack 1, win 913, options [nop,nop,TS val 425075713 ecr 40309736], length 88
09:24:46.323325 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15106:15194, ack 1, win 913, options [nop,nop,TS val 425076716 ecr 40309986], length 88
09:24:47.325162 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15194:15282, ack 1, win 913, options [nop,nop,TS val 425077718 ecr 40310237], length 88
09:24:48.326852 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15282:15370, ack 1, win 913, options [nop,nop,TS val 425078720 ecr 40310487], length 88
09:24:49.328797 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15370:15458, ack 1, win 913, options [nop,nop,TS val 425079722 ecr 40310738], length 88
09:24:50.330547 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15458:15546, ack 1, win 913, options [nop,nop,TS val 425080724 ecr 40310988], length 88
09:24:51.332404 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15546:15634, ack 1, win 913, options [nop,nop,TS val 425081726 ecr 40311239], length 88
09:24:52.334152 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15634:15722, ack 1, win 913, options [nop,nop,TS val 425082728 ecr 40311489], length 88
09:24:53.335959 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15722:15810, ack 1, win 913, options [nop,nop,TS val 425083730 ecr 40311739], length 88
09:24:54.339040 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15810:15898, ack 1, win 913, options [nop,nop,TS val 425084733 ecr 40311990], length 88
09:24:55.342602 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15898:15986, ack 1, win 913, options [nop,nop,TS val 425085737 ecr 40312241], length 88
09:24:56.345441 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 15986:16074, ack 1, win 913, options [nop,nop,TS val 425086740 ecr 40312492], length 88
09:24:57.347302 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16074:16162, ack 1, win 913, options [nop,nop,TS val 425087742 ecr 40312742], length 88
09:24:58.350094 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16162:16250, ack 1, win 913, options [nop,nop,TS val 425088745 ecr 40312993], length 88
09:24:59.352935 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16250:16338, ack 1, win 913, options [nop,nop,TS val 425089748 ecr 40313243], length 88
09:25:00.354758 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16338:16426, ack 1, win 913, options [nop,nop,TS val 425090750 ecr 40313494], length 88
09:25:01.356602 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16426:16514, ack 1, win 913, options [nop,nop,TS val 425091752 ecr 40313745], length 88
09:25:02.359503 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16514:16602, ack 1, win 913, options [nop,nop,TS val 425092755 ecr 40313995], length 88
09:25:03.362196 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16602:16690, ack 1, win 913, options [nop,nop,TS val 425093758 ecr 40314246], length 88
09:25:04.364039 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16690:16778, ack 1, win 913, options [nop,nop,TS val 425094760 ecr 40314496], length 88
09:25:05.366876 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16778:16866, ack 1, win 913, options [nop,nop,TS val 425095763 ecr 40314747], length 88
09:25:06.368785 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16866:16954, ack 1, win 913, options [nop,nop,TS val 425096765 ecr 40314998], length 88
09:25:07.371498 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 16954:17042, ack 1, win 913, options [nop,nop,TS val 425097768 ecr 40315248], length 88
09:25:08.374620 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17042:17130, ack 1, win 913, options [nop,nop,TS val 425098771 ecr 40315499], length 88
09:25:09.377173 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17130:17218, ack 1, win 913, options [nop,nop,TS val 425099774 ecr 40315750], length 88
09:25:10.379048 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17218:17306, ack 1, win 913, options [nop,nop,TS val 425100776 ecr 40316000], length 88
09:25:11.381868 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17306:17394, ack 1, win 913, options [nop,nop,TS val 425101779 ecr 40316251], length 88
09:25:12.383774 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17394:17482, ack 1, win 913, options [nop,nop,TS val 425102781 ecr 40316501], length 88
09:25:13.385429 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17482:17570, ack 1, win 913, options [nop,nop,TS val 425103783 ecr 40316752], length 88
09:25:14.388265 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17570:17658, ack 1, win 913, options [nop,nop,TS val 425104786 ecr 40317002], length 88
09:25:15.391201 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17658:17746, ack 1, win 913, options [nop,nop,TS val 425105789 ecr 40317253], length 88
09:25:16.393033 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17746:17834, ack 1, win 913, options [nop,nop,TS val 425106791 ecr 40317504], length 88
09:25:17.395871 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17834:17922, ack 1, win 913, options [nop,nop,TS val 425107794 ecr 40317754], length 88
09:25:18.398564 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 17922:18010, ack 1, win 913, options [nop,nop,TS val 425108797 ecr 40318005], length 88
09:25:19.400358 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18010:18098, ack 1, win 913, options [nop,nop,TS val 425109799 ecr 40318256], length 88
09:25:20.403222 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18098:18186, ack 1, win 913, options [nop,nop,TS val 425110802 ecr 40318506], length 88
09:25:21.405048 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18186:18274, ack 1, win 913, options [nop,nop,TS val 425111804 ecr 40318757], length 88
09:25:22.407855 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18274:18362, ack 1, win 913, options [nop,nop,TS val 425112807 ecr 40319007], length 88
09:25:23.410645 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18362:18450, ack 1, win 913, options [nop,nop,TS val 425113810 ecr 40319258], length 88
09:25:24.412456 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18450:18538, ack 1, win 913, options [nop,nop,TS val 425114812 ecr 40319509], length 88
09:25:25.414306 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18538:18626, ack 1, win 913, options [nop,nop,TS val 425115814 ecr 40319759], length 88
09:25:26.416167 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18626:18714, ack 1, win 913, options [nop,nop,TS val 425116816 ecr 40320009], length 88
09:25:27.418974 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18714:18802, ack 1, win 913, options [nop,nop,TS val 425117819 ecr 40320260], length 88
09:25:28.421023 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18802:18890, ack 1, win 913, options [nop,nop,TS val 425118821 ecr 40320511], length 88
09:25:29.424770 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18890:18978, ack 1, win 913, options [nop,nop,TS val 425119825 ecr 40320761], length 88
09:25:30.426413 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 18978:19066, ack 1, win 913, options [nop,nop,TS val 425120827 ecr 40321012], length 88
09:25:31.429199 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19066:19154, ack 1, win 913, options [nop,nop,TS val 425121830 ecr 40321263], length 88
09:25:32.431161 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19154:19242, ack 1, win 913, options [nop,nop,TS val 425122832 ecr 40321513], length 88
09:25:33.432867 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19242:19330, ack 1, win 913, options [nop,nop,TS val 425123834 ecr 40321764], length 88
09:25:34.434670 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19330:19418, ack 1, win 913, options [nop,nop,TS val 425124836 ecr 40322014], length 88
09:25:35.436559 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19418:19506, ack 1, win 913, options [nop,nop,TS val 425125838 ecr 40322265], length 88
09:25:36.440522 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19506:19594, ack 1, win 913, options [nop,nop,TS val 425126842 ecr 40322515], length 88
09:25:37.443156 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19594:19682, ack 1, win 913, options [nop,nop,TS val 425127845 ecr 40322766], length 88
09:25:38.445980 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19682:19770, ack 1, win 913, options [nop,nop,TS val 425128848 ecr 40323017], length 88
09:25:39.448839 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19770:19858, ack 1, win 913, options [nop,nop,TS val 425129851 ecr 40323267], length 88
09:25:40.451989 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19858:19946, ack 1, win 913, options [nop,nop,TS val 425130854 ecr 40323518], length 88
09:25:41.454454 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 19946:20034, ack 1, win 913, options [nop,nop,TS val 425131857 ecr 40323769], length 88
09:25:42.456343 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20034:20122, ack 1, win 913, options [nop,nop,TS val 425132859 ecr 40324020], length 88
09:25:43.459120 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20122:20210, ack 1, win 913, options [nop,nop,TS val 425133862 ecr 40324270], length 88
09:25:44.460894 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20210:20298, ack 1, win 913, options [nop,nop,TS val 425134864 ecr 40324521], length 88
09:25:45.462949 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20298:20386, ack 1, win 913, options [nop,nop,TS val 425135866 ecr 40324771], length 88
09:25:46.465537 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20386:20474, ack 1, win 913, options [nop,nop,TS val 425136869 ecr 40325022], length 88
09:25:47.467594 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20474:20562, ack 1, win 913, options [nop,nop,TS val 425137871 ecr 40325272], length 88
09:25:48.471283 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20562:20650, ack 1, win 913, options [nop,nop,TS val 425138875 ecr 40325523], length 88
09:25:49.473972 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20650:20738, ack 1, win 913, options [nop,nop,TS val 425139878 ecr 40325774], length 88
09:25:50.475774 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20738:20826, ack 1, win 913, options [nop,nop,TS val 425140880 ecr 40326024], length 88
09:25:51.477618 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20826:20914, ack 1, win 913, options [nop,nop,TS val 425141882 ecr 40326275], length 88
09:25:52.479351 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 20914:21002, ack 1, win 913, options [nop,nop,TS val 425142884 ecr 40326525], length 88
09:25:53.482284 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21002:21090, ack 1, win 913, options [nop,nop,TS val 425143887 ecr 40326776], length 88
09:25:54.484014 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21090:21178, ack 1, win 913, options [nop,nop,TS val 425144889 ecr 40327026], length 88
09:25:55.485942 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21178:21266, ack 1, win 913, options [nop,nop,TS val 425145891 ecr 40327277], length 88
09:25:56.487827 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21266:21354, ack 1, win 913, options [nop,nop,TS val 425146893 ecr 40327527], length 88
09:25:57.489515 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21354:21442, ack 1, win 913, options [nop,nop,TS val 425147895 ecr 40327778], length 88
09:25:58.492256 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21442:21530, ack 1, win 913, options [nop,nop,TS val 425148898 ecr 40328028], length 88
09:25:59.495082 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21530:21618, ack 1, win 913, options [nop,nop,TS val 425149901 ecr 40328279], length 88
09:26:00.497887 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21618:21706, ack 1, win 913, options [nop,nop,TS val 425150904 ecr 40328530], length 88
09:26:01.499780 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21706:21794, ack 1, win 913, options [nop,nop,TS val 425151906 ecr 40328780], length 88
09:26:02.502606 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21794:21882, ack 1, win 913, options [nop,nop,TS val 425152909 ecr 40329031], length 88
09:26:03.505381 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21882:21970, ack 1, win 913, options [nop,nop,TS val 425153912 ecr 40329282], length 88
09:26:04.508360 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 21970:22058, ack 1, win 913, options [nop,nop,TS val 425154915 ecr 40329532], length 88
09:26:05.509990 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22058:22146, ack 1, win 913, options [nop,nop,TS val 425155917 ecr 40329783], length 88
09:26:06.513001 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22146:22234, ack 1, win 913, options [nop,nop,TS val 425156920 ecr 40330033], length 88
09:26:07.515728 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22234:22322, ack 1, win 913, options [nop,nop,TS val 425157923 ecr 40330284], length 88
09:26:08.517474 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22322:22410, ack 1, win 913, options [nop,nop,TS val 425158925 ecr 40330535], length 88
09:26:09.519315 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22410:22498, ack 1, win 913, options [nop,nop,TS val 425159927 ecr 40330785], length 88
09:26:10.521146 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22498:22586, ack 1, win 913, options [nop,nop,TS val 425160929 ecr 40331036], length 88
09:26:11.523397 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22586:22674, ack 1, win 913, options [nop,nop,TS val 425161931 ecr 40331286], length 88
09:26:12.525891 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22674:22762, ack 1, win 913, options [nop,nop,TS val 425162934 ecr 40331537], length 88
09:26:13.527966 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22762:22850, ack 1, win 913, options [nop,nop,TS val 425163936 ecr 40331787], length 88
09:26:14.530406 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22850:22938, ack 1, win 913, options [nop,nop,TS val 425164939 ecr 40332038], length 88
09:26:15.533274 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 22938:23026, ack 1, win 913, options [nop,nop,TS val 425165942 ecr 40332289], length 88
09:26:16.536131 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23026:23114, ack 1, win 913, options [nop,nop,TS val 425166945 ecr 40332539], length 88
09:26:17.538007 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23114:23202, ack 1, win 913, options [nop,nop,TS val 425167947 ecr 40332790], length 88
09:26:18.540769 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23202:23290, ack 1, win 913, options [nop,nop,TS val 425168950 ecr 40333040], length 88
09:26:19.543524 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23290:23378, ack 1, win 913, options [nop,nop,TS val 425169953 ecr 40333291], length 88
09:26:20.545332 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23378:23466, ack 1, win 913, options [nop,nop,TS val 425170955 ecr 40333542], length 88
09:26:21.547323 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23466:23554, ack 1, win 913, options [nop,nop,TS val 425171957 ecr 40333792], length 88
09:26:22.549071 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23554:23642, ack 1, win 913, options [nop,nop,TS val 425172959 ecr 40334043], length 88
09:26:23.551812 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23642:23730, ack 1, win 913, options [nop,nop,TS val 425173962 ecr 40334293], length 88
09:26:24.553605 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23730:23818, ack 1, win 913, options [nop,nop,TS val 425174964 ecr 40334544], length 88
09:26:25.556651 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23818:23906, ack 1, win 913, options [nop,nop,TS val 425175967 ecr 40334794], length 88
09:26:26.560252 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23906:23994, ack 1, win 913, options [nop,nop,TS val 425176971 ecr 40335045], length 88
09:26:27.562121 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 23994:24082, ack 1, win 913, options [nop,nop,TS val 425177973 ecr 40335296], length 88
09:26:28.563883 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24082:24170, ack 1, win 913, options [nop,nop,TS val 425178975 ecr 40335546], length 88
09:26:29.565685 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24170:24258, ack 1, win 913, options [nop,nop,TS val 425179977 ecr 40335797], length 88
09:26:30.567506 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24258:24346, ack 1, win 913, options [nop,nop,TS val 425180979 ecr 40336047], length 88
09:26:31.570351 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24346:24434, ack 1, win 913, options [nop,nop,TS val 425181982 ecr 40336298], length 88
09:26:32.573213 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24434:24522, ack 1, win 913, options [nop,nop,TS val 425182985 ecr 40336549], length 88
09:26:33.577047 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24522:24610, ack 1, win 913, options [nop,nop,TS val 425183989 ecr 40336799], length 88
09:26:34.578881 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24610:24698, ack 1, win 913, options [nop,nop,TS val 425184991 ecr 40337050], length 88
09:26:35.581682 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24698:24786, ack 1, win 913, options [nop,nop,TS val 425185994 ecr 40337301], length 88
09:26:36.584482 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24786:24874, ack 1, win 913, options [nop,nop,TS val 425186997 ecr 40337551], length 88
09:26:37.586313 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24874:24962, ack 1, win 913, options [nop,nop,TS val 425187999 ecr 40337802], length 88
09:26:38.588175 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 24962:25050, ack 1, win 913, options [nop,nop,TS val 425189001 ecr 40338052], length 88
09:26:39.589977 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25050:25138, ack 1, win 913, options [nop,nop,TS val 425190003 ecr 40338303], length 88
09:26:40.592747 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25138:25226, ack 1, win 913, options [nop,nop,TS val 425191006 ecr 40338553], length 88
09:26:41.595555 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25226:25314, ack 1, win 913, options [nop,nop,TS val 425192009 ecr 40338804], length 88
09:26:42.598339 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25314:25402, ack 1, win 913, options [nop,nop,TS val 425193012 ecr 40339055], length 88
09:26:43.600478 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25402:25490, ack 1, win 913, options [nop,nop,TS val 425194014 ecr 40339306], length 88
09:26:44.604082 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25490:25578, ack 1, win 913, options [nop,nop,TS val 425195018 ecr 40339556], length 88
09:26:45.606051 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25578:25666, ack 1, win 913, options [nop,nop,TS val 425196020 ecr 40339807], length 88
09:26:46.609782 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25666:25754, ack 1, win 913, options [nop,nop,TS val 425197024 ecr 40340057], length 88
09:26:47.611480 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25754:25842, ack 1, win 913, options [nop,nop,TS val 425198026 ecr 40340308], length 88
09:26:48.613327 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25842:25930, ack 1, win 913, options [nop,nop,TS val 425199028 ecr 40340559], length 88
09:26:49.616319 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 25930:26018, ack 1, win 913, options [nop,nop,TS val 425200031 ecr 40340809], length 88
09:26:50.617977 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26018:26106, ack 1, win 913, options [nop,nop,TS val 425201033 ecr 40341060], length 88
09:26:51.621025 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26106:26194, ack 1, win 913, options [nop,nop,TS val 425202036 ecr 40341310], length 88
09:26:52.623696 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26194:26282, ack 1, win 913, options [nop,nop,TS val 425203039 ecr 40341561], length 88
09:26:53.626396 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26282:26370, ack 1, win 913, options [nop,nop,TS val 425204042 ecr 40341812], length 88
09:26:54.628250 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26370:26458, ack 1, win 913, options [nop,nop,TS val 425205044 ecr 40342063], length 88
09:26:55.630087 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26458:26546, ack 1, win 913, options [nop,nop,TS val 425206046 ecr 40342313], length 88
09:26:56.631913 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26546:26634, ack 1, win 913, options [nop,nop,TS val 425207048 ecr 40342563], length 88
09:26:57.633693 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26634:26722, ack 1, win 913, options [nop,nop,TS val 425208050 ecr 40342814], length 88
09:26:58.635754 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26722:26810, ack 1, win 913, options [nop,nop,TS val 425209052 ecr 40343064], length 88
09:26:59.638359 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26810:26898, ack 1, win 913, options [nop,nop,TS val 425210055 ecr 40343315], length 88
09:27:00.640186 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26898:26986, ack 1, win 913, options [nop,nop,TS val 425211057 ecr 40343566], length 88
09:27:01.643011 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 26986:27074, ack 1, win 913, options [nop,nop,TS val 425212060 ecr 40343816], length 88
09:27:02.644811 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27074:27162, ack 1, win 913, options [nop,nop,TS val 425213062 ecr 40344067], length 88
09:27:03.646683 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27162:27250, ack 1, win 913, options [nop,nop,TS val 425214064 ecr 40344317], length 88
09:27:04.648434 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27250:27338, ack 1, win 913, options [nop,nop,TS val 425215066 ecr 40344568], length 88
09:27:05.650275 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27338:27426, ack 1, win 913, options [nop,nop,TS val 425216068 ecr 40344818], length 88
